Address,info_a,info_b,price,size
"Tuohipolku 8, Malminkartano, Helsinki","
				Kerrostalo, 1986
			","
				2h, kk, kph ja parveke
			","
99 000 €


","

99 000 €




44,5 m²



"
"Adolf Lindforsin tie 1 B, Pohjois-Haaga, Helsinki","
				Kerrostalo, 1956
			","
				3 h + k + lasitettu parveke
			","
279 000 €


","

279 000 €




66 m²



"
"Kauppaneuvoksentie 17, Lauttasaari, Helsinki","
				Kerrostalo, 1938
			","
				3h + kk + kph
			","
256 088 €


","

256 088 €




50 m²



"
"Vedenottamontie 12, Vuosaari, Helsinki","
				Kerrostalo, 1994
			","
				2H+KK+S
			","
13 226 €


","

13 226 €




47 m²



"
"Laakavuorenkuja 1 C, Mellunmäki, Helsinki","
				Kerrostalo, 1988
			","
				3h, k, kph, lasit. parv.
			","
118 000 €


","

118 000 €




65 m²



"
"Tuhkimontie 6 A, Roihuvuori, Helsinki","
				Kerrostalo, 1957
			","
				2h+k+kph+p
			","
219 000 €


","

219 000 €




43,5 m²



"
"Suopellonkaari 61, Maunula, Helsinki","
				Kerrostalo, 2013
			","
				2h,kk,patio
			","
225 000 €


","

225 000 €




45,5 m²



"
"Vedenottamontie 12, Vuosaari, Helsinki","
				Kerrostalo, 1994
			","
				3H+K+S
			","
20 114 €


","

20 114 €




78,5 m²



"
"Eskolantie 2 A, Pukinmäki, Helsinki","
				Kerrostalo, 2009
			","
				3 h, k, kh/wc, s, p (Yj 3h+k+s)
			","
295 000 €


","

295 000 €




66 m²



"
"Viides linja 18 E, Kallio, Helsinki","
				Kerrostalo, 1907
			","
				2h, avok, kph, erillis-wc, eteinen
			","
437 000 €


","

437 000 €




54,7 m²



"
"Pohjoinen Hesperiankatu 35 C, Taka-Töölö, Helsinki","
				Kerrostalo, 2024
			","
				2h+kt loft
			","
460 000 €


","

460 000 €




37 m²



"
"Sienitie 6, Heikinlaakso, Helsinki","
				Paritalo, 1983
			","
				2h, k, kph, s, ulkovarasto, piha
			","
185 000 €


","

185 000 €




52,5 m²



"
"Kaarelantie 97, Kaarela, Helsinki","
				Kerrostalo, 1960
			","
				3h + k +kph+vh+las.parveke
			","
262 000 €


","

262 000 €




68 m²



"
"Järkälekuja 1 D 67, Kivikko, Helsinki","
				Kerrostalo, 1999
			","
				3H+KK+S
			","
24 072 €


","

24 072 €




65 m²



"
"Laajalahdentie 3 B, Munkkiniemi, Helsinki","
				Kerrostalo, 1925
			","
				3 h, kk, ruokailutila, kph, 2 x eteinen
			","
595 000 €


","

595 000 €




96 m²



"
"Mechelininkatu 45 A, Taka-Töölö, Helsinki","
				Kerrostalo, 1939
			","
				2h+kk+kh
			","
298 500 €


","

298 500 €




47 m²



"
"Kivikonkaari 40, Mellunkylä, Helsinki","
				Kerrostalo, 2015
			","
				3h+k
			","
50 154 €


","

50 154 €




80,5 m²



"
"Hevosmiehenkuja 1 B, Alppikylä, Helsinki","
				Kerrostalo, 2021
			","
				3h, k, kph, ranskalainen parveke
			","
250 000 €


","

250 000 €




65,5 m²



"
"Lapinlahdenkatu 21 B, Kamppi, Helsinki","
				Kerrostalo, 1928
			","
				3h + k
			","
398 000 €


","

398 000 €




45,5 m²



"
"Jokiniementie 36-38 B, Veräjämäki, Helsinki","
				Kerrostalo, 1979
			","
				2h+k+kph+parveke
			","
220 000 €


","

220 000 €




52 m²



"
"Ilmarinkatu 10 C, Etu-Töölö, Helsinki","
				Kerrostalo, 1926
			","
				3h+k+wc+kph+vh
			","
659 000 €


","

659 000 €




78,3 m²



"
"Maneesikatu 8 B, Kruununhaka, Helsinki","
				Kerrostalo, 1936
			","
				3h+k+halli+kph+terassi(lattiapinta-ala  89m2)
			","
890 000 €


","

890 000 €




81 m²



"
"Teollisuuskatu 18 B, Konepaja, Helsinki","
				Kerrostalo, 2014
			","
				2h, avok, kph, s, terassi
			","
338 900 €


","

338 900 €




47,5 m²



"
"Mätästie 1 C, Suurmetsä, Helsinki","
				Kerrostalo, 1971
			","
				2h, k
			","
103 000 €


","

103 000 €




63 m²



"
"Pähkinätie 15 B, Tapaninvainio, Helsinki","
				Rivitalo, 1976
			","
				3h, avok, kph, s, wc, 2 x vh,
			","
309 000 €


","

309 000 €




82 m²



"
"Paneliantie 31 A 1, Vesala, Helsinki","
				Paritalo
			","
				3h+k+s
			","
384 000 €


","

384 000 €




63 m²



"
"Porekuja 5 B, Laajasalo, Helsinki","
				Kerrostalo, 1990
			","
				2h+k+las.parv
			","
179 000 €


","

179 000 €




56 m²



"
"Keijukaistenpolku 5, Roihuvuori, Helsinki","
				Kerrostalo, 1957
			","
				2 h, k, kph, vh, parveke
			","
218 000 €


","

218 000 €




56,5 m²



"
"Paneliantie 31 A 2, Vesala, Helsinki","
				Paritalo
			","
				3h+k+s
			","
384 000 €


","

384 000 €




63 m²



"
"Punavuorenkatu 26/ Telakkakatu 16 C 51, Punavuori, Helsinki","
				Kerrostalo, 2023
			","
				3H+KT+S
			","
1 123 200 €


				Hoitovastike 518,4 €/kk
			
","

1 123 200 €


				Hoitovastike 518,4 €/kk
			


108 m²

				10 400 €/m²
			


1/8

				Kerros
			

"
"Veräjä 8 E, Veräjälaakso, Helsinki","
				Kerrostalo, 2023
			","
				2h+kk
			","
200 210 €


","

200 210 €




34 m²



"
"Veräjä 8 E, Veräjälaakso, Helsinki","
				Kerrostalo, 2023
			","
				3h + kk + p
			","
303 200 €


","

303 200 €




52,5 m²



"
"Vihdintie 13 B, Etelä-Haaga, Helsinki","
				Kerrostalo, 1939
			","
				3 h, avokeittiö, kh, p (yj. 3h, keittiö, kylpyhuone)
			","
389 000 €


","

389 000 €




67,2 m²



"
"Hietalahdenranta 19, Hietalahti, Helsinki","
				Kerrostalo, 1988
			","
				2h + k + s + p
			","
468 000 €


","

468 000 €




63,5 m²



"
"Käenkuja 3b B, Sörnäinen, Helsinki","
				Kerrostalo, 1939
			","
				2 h, kk, kph, s (yj: 2h+kk+s)
			","
360 000 €


","

360 000 €




54 m²



"
